,,,,,,,,
,"100K TODAY
,"La Abogada y el Ingeniero - Apoyo legal de X a sus usuarios
 - Ended: Aug 10 2023 - Speakers: 10 - Duration: 1h 43m
",La Abogada y el Ingeniero - Apoyo legal de X a sus usuarios,Aug 10 2023,10,1h 43m,54,REPLAY,https://x.com/i/spaces/1BRKjZwRRLBKw
,"Women of Web3 @sandym_c @anananfts - Rifa NFTs
 - Ended: Oct 17 2023 - Speakers: 7 - Duration: 1h 33m","Women of Web3 
@sandym_c 
@anananfts - Rifa NFTs",Oct 17 2023,7,1h 33m,173,REPLAY,https://x.com/i/spaces/1BdGYraLaLZJX
,"Degeniverse en Español con @Meximalist @Chulybert y @DegenService
 - Ended: Dec 10 2021 - Speakers: 9 - Duration: 1h 47m
","Degeniverse en Español con 
@Meximalist 
@Chulybert y 
@DegenService",Dec 10 2021,9,1h 47m,37,NADA,
,"La Abogada, el Economista y el Ingeniero
 - Ended: Mar 30 2023 - Speakers: 7 - Duration: 1h 42m
","La Abogada, el Economista y el Ingeniero",Mar 30 2023,7,1h 42m,79,REPLAY,https://x.com/i/spaces/1DXGyvEpDOkJM
,"La Abogada, el Economista y el Ingeniero
 - Ended: Feb 23 2023 - Speakers: 9 - Duration: 2h 00m
","La Abogada, el Economista y el Ingeniero",Feb 23 2023,9,2h 00m,99,REPLAY,https://x.com/i/spaces/1DXGyvrrPYvJM
,"El Economista y el Ingeniero - SEC y NFTNYC
 - Ended: Apr 18 2023 - Speakers: 16 - Duration: 3h 11m
",El Economista y el Ingeniero - SEC y NFTNYC,Apr 18 2023,16,3h 11m,141,REPLAY,https://x.com/i/spaces/1DXxyvYQALZKM
,"La Abogada, el Economista y el Ingeniero - Eventos Web3 en México
 - Ended: Apr 27 2023 - Speakers: 10 - Duration: 2h 15m
","La Abogada, el Economista y el Ingeniero - Eventos Web3 en México",Apr 27 2023,10,2h 15m,91,REPLAY,https://x.com/i/spaces/1DXxyvaPklbKM
,"¿Cómo lidiar con amenazas, violencia y el doxxeo en la Web3?
 - Ended: Jan 4 2024 - Speakers: 18 - Duration: 2h 34m
","¿Cómo lidiar con amenazas, violencia y el doxxeo en la Web3?",Jan 4 2024,18,2h 34m,530,REPLAY,https://x.com/i/spaces/1LyGBnYRYEkGN
,"El economista y el ingeniero
 - Ended: Nov 10 2022 - Speakers: 16 - Duration: 1h 36m
",El economista y el ingeniero,Nov 10 2022,16,1h 36m,103,REPLAY,https://x.com/i/spaces/1MnGnpbWkBdxO
,"Founders y proyectos que vinieron a Mty
 - Ended: May 25 2023 - Speakers: 2 - Duration: 3h 21m
",Founders y proyectos que vinieron a Mty,May 25 2023,2,3h 21m,230,REPLAY,https://x.com/i/spaces/1LyxBqLjmOoJN
,"La abogada, el economista y el ingeniero Ep08 #ChatGPT
 - Ended: Dec 6 2022 - Speakers: 7 - Duration: 1h 41m","La abogada, el economista y el ingeniero Ep08 #ChatGPT",Dec 6 2022,7,1h 41m,73,REPLAY,https://x.com/i/spaces/1LyxBqZRoZEJN
,"CriptoMaza 2023 de @ExponencialCC 13-15 Enero
 - Ended: Jan 10 2023 - Speakers: 9 - Duration: 55m",CriptoMaza 2023 de @ExponencialCC 13-15 Enero,Jan 10 2023,9,55m,60,REPLAY,https://x.com/i/spaces/1LyxBqbEyDOJN
,"El economista y el ingeniero - ¿Buenas noticias en los mercados?
 - Ended: Jan 10 2023 - Speakers: 10 - Duration: 1h 45m
",El economista y el ingeniero - ¿Buenas noticias en los mercados?,Jan 10 2023,10,1h 45m,120,REPLAY,https://x.com/i/spaces/1LyxBqbQPYLJN
,"La abogada, el economista y el ingeniero - Leyes Fintech
 - Ended: Jan 5 2023 - Speakers: 10 - Duration: 1h 39m","La abogada, el economista y el ingeniero - Leyes Fintech",Jan 5 2023,10,1h 39m,77,REPLAY,https://x.com/i/spaces/1LyxBqbpnkLJN
,"Blockchain Land en Monterrey del 5 al 7 de Octubre en Cintermex
 - Ended: Sep 30 2022 - Speakers: 12 - Duration: 1h 48m
",Blockchain Land en Monterrey del 5 al 7 de Octubre en Cintermex,Sep 30 2022,12,1h 48m,117,REPLAY,https://x.com/i/spaces/1LyxBqvevkpJN
